trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'e': 0.4867522559599717, 'a': 0.3}",25,0,-39.74701280443718,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
74,False,"{'e': 0.48190899009020244, 'a': 0.3}",20,0,-13.301567758512242,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
75,False,"{'e': 0.4771139155210344, 'a': 0.3}",20,15,10.53032198412399,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'e': 0.4723665527410147, 'a': 0.3}",25,15,6.544010835257694,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'e': 0.46766642700990924, 'a': 0.3}",20,0,-138.2426439566089,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
78,False,"{'e': 0.46301306831122807, 'a': 0.3}",25,7,-19.203669990328045,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
79,False,"{'e': 0.4584060113052235, 'a': 0.3}",25,1,-16.26967118544149,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
80,False,"{'e': 0.45384479528235583, 'a': 0.3}",25,14,-1.1264589208513134,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'e': 0.44932896411722156, 'a': 0.3}",25,0,-39.13971129952971,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
82,False,"{'e': 0.4448580662229411, 'a': 0.3}",30,6,-62.015220696317286,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 0}",1
83,False,"{'e': 0.44043165450599925, 'a': 0.3}",25,0,-69.73752681686277,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
84,False,"{'e': 0.43604928632153556, 'a': 0.3}",20,15,-30.53484925383647,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
85,False,"{'e': 0.43171052342907973, 'a': 0.3}",25,0,1.789678264895031,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
86,False,"{'e': 0.4274149319487267, 'a': 0.3}",20,0,-57.626405007887705,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
87,False,"{'e': 0.4231620823177488, 'a': 0.3}",20,6,-51.98173201960406,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
88,False,"{'e': 0.418951549247639, 'a': 0.3}",25,0,-102.63818591706854,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
89,False,"{'e': 0.4147829116815814, 'a': 0.3}",30,0,-70.4341608314704,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
90,False,"{'e': 0.4106557527523455, 'a': 0.3}",25,8,5.8918157028453075,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'e': 0.4065696597405991, 'a': 0.3}",20,8,-22.983164482475708,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
92,False,"{'e': 0.40252422403363597, 'a': 0.3}",25,0,-79.29648950534289,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
93,False,"{'e': 0.39851904108451414, 'a': 0.3}",20,0,16.084548251518,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'e': 0.3945537103716011, 'a': 0.3}",25,0,-31.40860232046512,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",1
95,False,"{'e': 0.3906278353585211, 'a': 0.3}",20,11,-2.102610900445776,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'e': 0.3867410234545012, 'a': 0.3}",20,3,-12.41613707783102,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
97,False,"{'e': 0.38289288597511206, 'a': 0.3}",30,5,-15.855898592773698,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",1
98,False,"{'e': 0.37908303810339883, 'a': 0.3}",25,12,-15.561831289854645,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
99,False,"{'e': 0.37531109885139957, 'a': 0.3}",20,6,22.487926997724635,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'e': 0.3715766910220457, 'a': 0.3}",30,0,17.791564255394142,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
101,False,"{'e': 0.36787944117144233, 'a': 0.3}",20,0,-49.30583539704359,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
102,False,"{'e': 0.3642189795715233, 'a': 0.3}",30,13,-31.669803649054806,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
103,False,"{'e': 0.3605949401730783, 'a': 0.3}",20,12,0.179470218726689,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
104,False,"{'e': 0.3570069605691474, 'a': 0.3}",25,11,13.29946639904913,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'e': 0.35345468195878016, 'a': 0.3}",20,10,-0.00618581163786458,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'e': 0.3499377491111553, 'a': 0.3}",25,7,-30.818816429901574,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
107,False,"{'e': 0.3464558103300574, 'a': 0.3}",20,8,-24.83427394652594,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
108,False,"{'e': 0.34300851741870664, 'a': 0.3}",20,7,-8.771124371498832,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
109,False,"{'e': 0.3395955256449391, 'a': 0.3}",35,19,27.825860215941283,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'e': 0.3362164937067333, 'a': 0.3}",25,19,12.359530671989383,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'e': 0.33287108369807955, 'a': 0.3}",20,11,19.41727788105462,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'e': 0.32955896107518906, 'a': 0.3}",20,12,15.750541408411113,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'e': 0.32627979462303947, 'a': 0.3}",20,6,-7.9056534692924485,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
114,False,"{'e': 0.3230332564222529, 'a': 0.3}",35,0,-3.6469063866291824,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",1
115,False,"{'e': 0.31981902181630384, 'a': 0.3}",25,11,8.644281218588707,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'e': 0.31663676937905316, 'a': 0.3}",20,16,6.454108357930889,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'e': 0.3134861808826053, 'a': 0.3}",20,0,16.81598376312236,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
118,False,"{'e': 0.31036694126548503, 'a': 0.3}",25,17,14.498363876639317,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'e': 0.30727873860113125, 'a': 0.3}",25,15,16.40272329033725,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'e': 0.3042212640667041, 'a': 0.3}",25,14,-22.247231934596787,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
121,False,"{'e': 0.30119421191220214, 'a': 0.3}",25,13,9.280704589754453,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'e': 0.2981972794298874, 'a': 0.3}",25,11,-29.974249196132476,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'e': 0.2952301669240142, 'a': 0.3}",20,0,-14.288705264062475,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
124,False,"{'e': 0.2922925776808594, 'a': 0.3}",25,0,-38.02324094615543,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
125,False,"{'e': 0.2893842179390506, 'a': 0.3}",25,15,6.848757678141964,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'e': 0.2865047968601901, 'a': 0.3}",25,3,-63.157027055978496,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
127,False,"{'e': 0.2836540264997704, 'a': 0.3}",25,1,-42.00721974408329,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 1}",1
128,False,"{'e': 0.2808316217783798, 'a': 0.3}",25,2,-26.263116820218105,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 1}",1
129,False,"{'e': 0.27803730045319414, 'a': 0.3}",25,13,-64.41485044810896,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
130,False,"{'e': 0.27527078308975234, 'a': 0.3}",25,13,-29.670014180640024,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'e': 0.2725317930340126, 'a': 0.3}",30,16,25.662102805576446,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'e': 0.2698200563846868, 'a': 0.3}",25,13,1.6999427245743337,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'e': 0.26713530196585034, 'a': 0.3}",20,14,14.0346344814796,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'e': 0.26447726129982396, 'a': 0.3}",25,0,8.244174365773137,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
135,False,"{'e': 0.261845668580326, 'a': 0.3}",35,11,-1.6999185110848574,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
